person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_age_by_income
24,90000,3,8.0,0,0,12000,8.94,0.13,0,2,0.0002666666666666667
26,81000,3,1.0,2,1,20000,11.11,0.25,0,3,0.00032098765432098765
37,30320,3,0.0,5,1,8000,9.99,0.26,0,12,0.0012203166226912928
23,40000,3,0.0,5,0,12000,7.9,0.3,0,3,0.000575
22,40000,3,5.0,5,1,10000,12.69,0.25,0,2,0.00055
32,54000,3,16.0,5,1,6300,10.99,0.12,0,6,0.0005925925925925926
24,59000,0,5.0,3,3,10000,15.31,0.17,0,2,0.00040677966101694915
36,85000,0,4.0,2,2,10000,12.99,0.12,1,14,0.0004235294117647059
22,50000,2,1.0,4,3,6000,15.99,0.12,1,3,0.00044
24,33000,2,14.0,3,0,1000,5.42,0.03,0,3,0.0007272727272727272
23,40000,3,7.0,1,1,15000,11.71,0.38,0,4,0.000575
36,95000,0,4.0,0,0,5000,7.29,0.05,0,11,0.00037894736842105265
25,28800,3,1.0,3,1,8500,11.49,0.29,0,2,0.0008680555555555555
27,61440,0,11.0,0,3,7200,14.42,0.12,0,5,0.000439453125
23,48000,3,4.0,4,1,2500,10.99,0.05,0,4,0.00047916666666666664
29,150000,0,0.0,2,1,20000,11.48,0.13,0,7,0.00019333333333333333
31,48000,0,7.0,5,0,6000,7.74,0.13,0,6,0.0006458333333333333
26,34000,3,0.0,5,1,10000,12.53,0.29,0,4,0.0007647058823529412
33,225000,0,4.0,2,1,20000,10.25,0.09,0,7,0.00014666666666666666
36,80000,0,20.0,5,0,3900,7.51,0.05,0,14,0.00045
22,46000,3,3.0,5,3,4800,17.58,0.1,1,2,0.0004782608695652174
35,90000,3,0.0,0,1,16000,11.26,0.18,0,10,0.00038888888888888887
24,60000,3,2.0,0,2,8400,12.99,0.14,0,2,0.0004
30,60000,3,2.0,5,0,2800,7.9,0.05,0,10,0.0005
29,70000,3,6.0,3,2,18000,13.16,0.26,0,5,0.0004142857142857143
24,54996,3,8.0,3,2,20000,13.23,0.37,1,2,0.0004363953742090334
28,132000,0,0.0,5,0,6800,7.14,0.05,0,5,0.00021212121212121213
27,35000,3,2.0,4,0,8575,6.99,0.24,0,6,0.0007714285714285715
30,636000,0,2.0,0,1,20000,11.48,0.03,0,5,4.7169811320754715e-05
23,77350,0,7.0,1,1,13800,11.99,0.18,0,3,0.000297349709114415
23,56000,0,1.0,4,1,9000,12.69,0.16,0,3,0.00041071428571428574
27,75000,0,2.0,4,1,8000,10.99,0.11,0,10,0.00036
30,90000,3,1.0,4,1,12000,9.91,0.13,0,6,0.0003333333333333333
27,50000,3,0.0,2,0,8000,5.99,0.16,0,5,0.00054
26,102000,0,9.0,0,1,18000,11.49,0.18,0,3,0.00025490196078431374
30,45000,3,5.0,3,0,10000,6.03,0.22,0,7,0.0006666666666666666
24,45000,3,4.0,3,1,10000,10.65,0.22,0,2,0.0005333333333333334
29,81000,0,5.0,4,3,12000,16.29,0.15,1,8,0.0003580246913580247
23,55000,3,8.0,3,2,12000,12.84,0.22,0,2,0.0004181818181818182
35,40000,3,0.0,5,2,15000,13.11,0.38,0,10,0.000875
25,30000,0,0.0,0,2,5200,13.49,0.17,1,4,0.0008333333333333334
29,32800,2,13.0,5,0,14125,7.29,0.43,0,10,0.0008841463414634147
26,38000,0,10.0,2,1,3000,11.86,0.08,0,2,0.0006842105263157894
24,28800,3,0.0,3,1,5000,9.76,0.17,0,3,0.0008333333333333334
27,32568,3,3.0,1,3,15000,14.84,0.46,0,7,0.0008290346352247605
43,68000,3,4.0,1,1,12000,10.74,0.18,0,17,0.0006323529411764706
22,30000,3,5.0,0,0,7500,8.0,0.25,0,4,0.0007333333333333333
22,45000,0,3.0,1,1,7500,11.86,0.17,0,4,0.0004888888888888889
32,52000,0,6.0,4,0,7125,6.03,0.14,0,6,0.0006153846153846154
24,48000,3,8.0,4,2,12000,13.49,0.25,1,4,0.0005
26,95000,0,10.0,4,2,35000,12.68,0.37,0,2,0.0002736842105263158
22,36000,3,0.0,5,6,13750,21.21,0.36,1,4,0.0006111111111111111
22,60000,0,2.0,4,1,10000,9.99,0.17,0,4,0.00036666666666666667
22,40000,0,3.0,4,1,12000,10.36,0.3,0,2,0.00055
23,65000,3,4.0,5,0,7000,7.49,0.11,0,3,0.00035384615384615386
25,49500,0,9.0,3,0,9000,7.49,0.18,0,4,0.000505050505050505
22,40000,3,2.0,0,1,13000,11.48,0.33,0,3,0.00055
