,person_home_ownership,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_age_by_income
43852,3,1.0,2,3500,10.59,0.07,0,10,0.0006041666666666667
37326,0,0.0,1,25000,12.53,0.19,1,2,0.0002
19961,3,4.0,3,14000,9.88,0.45,0,2,0.0007051282051282052
58216,0,1.0,0,3000,7.51,0.03,0,3,0.00026
41555,0,6.0,1,9600,12.53,0.14,0,2,0.0003107344632768362
4790,3,5.0,3,10000,7.88,0.13,0,7,0.0003733333333333333
7891,3,1.0,0,20000,11.49,0.06,0,9,8e-05
14961,0,10.0,5,10000,9.88,0.07,0,4,0.0001911764705882353
29310,3,2.0,1,24000,16.77,0.3,1,4,0.0003125
14763,3,1.0,1,5000,13.23,0.08,0,4,0.0003565891472868217
39095,3,3.0,5,7000,7.9,0.27,0,6,0.001272026637734296
48831,2,4.0,4,8000,13.92,0.15,0,10,0.0005454545454545455
35503,0,11.0,2,9000,6.03,0.08,0,5,0.000226890756302521
30910,3,3.0,4,11200,5.79,0.06,0,2,0.00013333333333333334
17939,0,5.0,4,10000,13.49,0.17,0,2,0.00036666666666666667
41633,3,4.0,5,10000,12.69,0.18,0,2,0.0004
56789,3,5.0,2,15000,8.9,0.13,0,14,0.0003
43236,0,9.0,4,6400,7.88,0.13,0,4,0.0005
29269,0,5.0,2,7000,7.49,0.14,0,11,0.0008
55786,3,2.0,3,3000,11.14,0.07,0,10,0.0007560238025558483
30832,3,7.0,0,5000,18.43,0.15,0,3,0.0007575757575757576
47601,3,0.0,0,6000,8.9,0.1,0,2,0.00036666666666666667
18126,0,3.0,0,10000,10.95,0.2,0,10,0.0006
1281,2,4.0,5,25000,10.38,0.32,0,2,0.00028024049729950064
4103,0,8.0,5,8000,6.62,0.08,0,4,0.00025
14215,3,2.0,4,1500,6.91,0.06,0,2,0.000875
41725,0,7.0,0,20000,12.53,0.23,0,2,0.0003026775320139697
10474,0,6.0,0,4000,5.99,0.07,0,3,0.00036666666666666667
3548,0,7.0,4,20000,10.37,0.33,0,17,0.0006
17536,3,0.0,0,3000,11.83,0.14,0,6,0.0015714285714285715
18030,0,5.0,5,12000,13.49,0.15,0,10,0.00041025641025641023
23162,0,2.0,3,10800,7.51,0.08,0,9,0.00021481481481481482
649,3,3.0,0,3100,13.49,0.05,1,17,0.0005846153846153846
51530,0,8.0,4,5000,12.69,0.06,0,2,0.0002926829268292683
27413,0,7.0,1,8000,5.42,0.15,0,4,0.00042592592592592595
19667,0,1.0,2,5600,11.49,0.1,0,9,0.0005272727272727272
5862,0,7.0,1,6000,14.11,0.13,0,3,0.0005111111111111112
3509,0,7.0,5,10000,5.79,0.14,0,2,0.00032857142857142856
1307,3,7.0,0,15000,15.95,0.19,1,3,0.0003972498090145149
10215,3,5.0,2,10500,7.66,0.3,0,9,0.0008235294117647059
39092,3,0.0,4,5000,10.38,0.1,0,2,0.00048
7666,3,0.0,1,6000,14.26,0.11,0,4,0.0004181818181818182
37022,0,7.0,0,7500,15.31,0.08,1,9,0.000288659793814433
2520,3,2.0,5,10000,13.49,0.12,0,6,0.0003411764705882353
49961,0,16.0,4,6000,15.23,0.05,0,10,0.0002807017543859649
52500,2,3.0,5,6000,6.62,0.21,0,3,0.0008241758241758242
35381,3,6.0,0,8500,13.99,0.26,0,4,0.0007647058823529412
36226,0,2.0,0,15000,10.99,0.25,0,5,0.0005
44623,3,2.0,4,6000,10.37,0.15,0,4,0.00055
15301,3,2.0,4,10000,10.99,0.25,0,10,0.0008838383838383839
44913,0,2.0,0,24000,7.49,0.14,0,16,0.0002529411764705882
12035,0,8.0,1,12000,10.65,0.16,0,4,0.00032
21658,3,2.0,1,13000,12.68,0.29,1,4,0.0005454545454545455
22461,0,1.0,2,10000,11.58,0.14,0,5,0.0004571689810846334
15038,3,0.0,1,5000,8.49,0.17,0,13,0.0013541666666666667
8766,3,5.0,3,20000,14.59,0.27,0,3,0.0003770739064856712
31870,3,0.0,3,4000,10.25,0.06,0,3,0.0004
52577,0,3.0,1,10000,12.99,0.19,0,4,0.0004230769230769231
13855,3,9.0,0,5500,10.99,0.07,0,17,0.0005375
27776,3,0.0,5,5000,13.23,0.14,1,7,0.00075
28202,0,7.0,3,18000,10.25,0.28,0,3,0.00040625
41153,0,6.0,2,2400,6.39,0.03,0,2,0.00031323791624500024
9832,3,1.0,1,23500,11.36,0.49,0,2,0.0005081300813008131
25806,0,4.0,5,25000,10.99,0.36,0,10,0.0004
21500,3,6.0,0,10000,10.99,0.22,0,4,0.0004888888888888889
11798,3,3.0,5,17000,9.91,0.26,0,3,0.0003692307692307692
38743,0,5.0,0,5000,10.99,0.06,0,3,0.00025883570991576074
51774,3,0.0,0,8000,9.25,0.14,0,3,0.00038194444444444446
31268,0,5.0,2,4000,12.42,0.09,0,8,0.000608695652173913
21540,0,2.0,1,25000,11.86,0.36,0,8,0.00044285714285714284
32313,3,3.0,5,15000,10.99,0.26,0,4,0.0004018169112508735
45587,2,20.0,5,20000,11.48,0.08,0,15,0.00015
6883,0,4.0,0,9800,11.48,0.26,0,3,0.0006510416666666666
3983,3,8.0,5,12000,6.91,0.12,0,5,0.00027
7256,2,3.0,5,3500,10.37,0.08,0,2,0.0005476190476190477
